prev,dens,urb,rur,y
387,17,317369,1066358,462
462,17,317369,1066358,462
462,17,317369,1066358,543
543,17,317369,1066358,609
609,17,317369,1066358,650
650,17,317369,1066358,740
740,17,317369,1066358,790
790,17,317369,1066358,858
858,17,317369,1066358,949
949,17,317369,1066358,991
991,17,317369,1066358,1056
1056,17,317369,1066358,1126
1126,17,317369,1066358,1158
1158,17,317369,1066358,1239
1239,17,317369,1066358,1330
1330,17,317369,1066358,1410
1410,17,317369,1066358,1484
1484,17,317369,1066358,1591
1591,17,317369,1066358,1673
1673,17,317369,1066358,1698
1698,17,317369,1066358,1758
1758,17,317369,1066358,1790
1790,17,317369,1066358,1855
1855,17,317369,1066358,1948
1948,17,317369,1066358,2049
2049,17,317369,1066358,2117
2117,17,317369,1066358,2155
2155,17,317369,1066358,2231
2231,17,317369,1066358,2327
2327,17,317369,1066358,2430
2430,17,317369,1066358,2512
2512,17,317369,1066358,2607
2607,17,317369,1066358,2658
2658,17,317369,1066358,2701
2701,17,317369,1066358,2741
2741,17,317369,1066358,2875
2875,17,317369,1066358,2950
2950,17,317369,1066358,3066
3066,17,317369,1066358,3126
3126,17,317369,1066358,3223
3223,17,317369,1066358,3263
3263,17,317369,1066358,3312
3312,17,317369,1066358,3412
3412,17,317369,1066358,3555
3555,17,317369,1066358,3633
3633,17,317369,1066358,3745
3745,17,317369,1066358,3877
3877,17,317369,1066358,4034
4034,17,317369,1066358,4112
4112,17,317369,1066358,4212
4212,17,317369,1066358,4360
4360,17,317369,1066358,4574
4574,17,317369,1066358,4775
4775,17,317369,1066358,4914
4914,17,317369,1066358,5000
5000,17,317369,1066358,5180
5180,17,317369,1066358,5402
5402,17,317369,1066358,5545
5545,17,317369,1066358,5672
5672,17,317369,1066358,5825
5825,17,317369,1066358,5975
5975,17,317369,1066358,6121
6121,17,317369,1066358,6298
6298,17,317369,1066358,6466
6466,17,317369,1066358,6692
1,397,4398542,26807034,5
5,397,4398542,26807034,16
16,397,4398542,26807034,24
24,397,4398542,26807034,26
26,397,4398542,26807034,26
26,397,4398542,26807034,26
26,397,4398542,26807034,27
27,397,4398542,26807034,28
28,397,4398542,26807034,29
29,397,4398542,26807034,29
29,397,4398542,26807034,29
29,397,4398542,26807034,31
31,397,4398542,26807034,31
31,397,4398542,26807034,33
33,397,4398542,26807034,33
33,397,4398542,26807034,35
35,397,4398542,26807034,35
35,397,4398542,26807034,35
35,397,4398542,26807034,35
35,397,4398542,26807034,35
35,397,4398542,26807034,35
35,397,4398542,26807034,35
35,397,4398542,26807034,36
36,397,4398542,26807034,36
36,397,4398542,26807034,36
36,397,4398542,26807034,36
36,397,4398542,26807034,38
38,397,4398542,26807034,38
38,397,4398542,26807034,42
42,397,4398542,26807034,42
42,397,4398542,26807034,43
43,397,4398542,26807034,43
43,397,4398542,26807034,43
43,397,4398542,26807034,43
43,397,4398542,26807034,43
43,397,4398542,26807034,45
45,397,4398542,26807034,54
54,397,4398542,26807034,59
59,397,4398542,26807034,63
63,397,4398542,26807034,63
63,397,4398542,26807034,65
65,397,4398542,26807034,65
65,397,4398542,26807034,80
80,397,4398542,26807034,87
87,397,4398542,26807034,90
90,397,4398542,26807034,92
92,397,4398542,26807034,101
101,397,4398542,26807034,107
107,397,4398542,26807034,142
142,397,4398542,26807034,170
170,397,4398542,26807034,203
203,397,4398542,26807034,259
259,397,4398542,26807034,329
329,397,4398542,26807034,378
378,397,4398542,26807034,526
526,397,4398542,26807034,616
616,397,4398542,26807034,781
781,397,4398542,26807034,856
856,397,4398542,26807034,1024
1024,397,4398542,26807034,1185
1185,397,4398542,26807034,1272
1272,397,4398542,26807034,1390
1390,397,4398542,26807034,1513
1513,397,4398542,26807034,1672
1672,397,4398542,26807034,1988
1988,397,4398542,26807034,2153
2153,397,4398542,26807034,2397
2397,397,4398542,26807034,2565
2565,397,4398542,26807034,2776
2776,397,4398542,26807034,2937
2937,397,4398542,26807034,3092
3092,397,4398542,26807034,3319
3319,397,4398542,26807034,3498
3498,397,4398542,26807034,3718
3718,397,4398542,26807034,4049
4049,397,4398542,26807034,4158
4158,397,4398542,26807034,4319
4319,397,4398542,26807034,4605
4605,397,4398542,26807034,4777
4777,397,4398542,26807034,4904
4904,397,4398542,26807034,4904
4904,397,4398542,26807034,5388
5388,397,4398542,26807034,5586
5586,397,4398542,26807034,5831
5831,397,4398542,26807034,6198
6198,397,4398542,26807034,6321
6321,397,4398542,26807034,6607
6607,397,4398542,26807034,6816
6816,397,4398542,26807034,7206
7206,397,4398542,26807034,7752
7752,397,4398542,26807034,8227
8227,397,4398542,26807034,8582
8582,397,4398542,26807034,9013
9013,397,4398542,26807034,9673
9673,397,4398542,26807034,10668
10668,397,4398542,26807034,11388
11388,397,4398542,26807034,12160
12160,397,4398542,26807034,12522
12522,397,4398542,26807034,13336
13336,397,4398542,26807034,14032
14032,397,4398542,26807034,14600
14600,397,4398542,26807034,15536
15536,397,4398542,26807034,16071
16071,397,4398542,26807034,16806
16806,397,4398542,26807034,17807
17807,397,4398542,26807034,18666
18666,397,4398542,26807034,19754
19754,397,4398542,26807034,20646
20646,397,4398542,26807034,22918
22918,397,4398542,26807034,23999
23999,397,4398542,26807034,25382
25382,397,4398542,26807034,25382
25382,397,4398542,26807034,26772
26772,397,4398542,26807034,28791
28791,397,4398542,26807034,29921
29921,397,4398542,26807034,31086
31086,397,4398542,26807034,32228
32228,397,4398542,26807034,33576
33576,397,4398542,26807034,34947
34947,397,4398542,26807034,36295
36295,397,4398542,26807034,38407
38407,397,4398542,26807034,40269
40269,397,4398542,26807034,41726
41726,397,4398542,26807034,42904
42904,397,4398542,26807034,45275
45275,397,4398542,26807034,48161
48161,397,4398542,26807034,50445
50445,397,4398542,26807034,52817
52817,397,4398542,26807034,55496
55496,397,4398542,26807034,57714
57714,397,4398542,26807034,58837
58837,397,4398542,26807034,61737
61737,397,4398542,26807034,64406
64406,397,4398542,26807034,68999
68999,397,4398542,26807034,71795
71795,397,4398542,26807034,74501
74501,397,4398542,26807034,75558
75558,397,4398542,26807034,76875
76875,397,4398542,26807034,79667
79667,397,4398542,26807034,82201
82201,397,4398542,26807034,84317
84317,397,4398542,26807034,86052
86052,397,4398542,26807034,87908
87908,397,4398542,26807034,89468
89468,397,4398542,26807034,90740
90740,397,4398542,26807034,92619
92619,397,4398542,26807034,94592
94592,397,4398542,26807034,96771
96771,397,4398542,26807034,98807
98807,397,4398542,26807034,101367
101367,397,4398542,26807034,103794
103794,397,4398542,26807034,105774
105774,397,4398542,26807034,109040
109040,397,4398542,26807034,111724
111724,397,4398542,26807034,115279
115279,397,4398542,26807034,118333
118333,397,4398542,26807034,121224
121224,397,4398542,26807034,123922
123922,397,4398542,26807034,125459
125459,397,4398542,26807034,128244
128244,397,4398542,26807034,130823
130823,397,4398542,26807034,133066
133066,397,4398542,26807034,135805
135805,397,4398542,26807034,138339
138339,397,4398542,26807034,140471
140471,397,4398542,26807034,141763
141763,397,4398542,26807034,144166
144166,397,4398542,26807034,146575
146575,397,4398542,26807034,148969
2,1102,11758016,92341436,2
2,1102,11758016,92341436,3
3,1102,11758016,92341436,4
4,1102,11758016,92341436,6
6,1102,11758016,92341436,6
6,1102,11758016,92341436,9
9,1102,11758016,92341436,11
11,1102,11758016,92341436,15
15,1102,11758016,92341436,15
15,1102,11758016,92341436,23
23,1102,11758016,92341436,24
24,1102,11758016,92341436,29
29,1102,11758016,92341436,30
30,1102,11758016,92341436,30
30,1102,11758016,92341436,32
32,1102,11758016,92341436,32
32,1102,11758016,92341436,38
38,1102,11758016,92341436,39
39,1102,11758016,92341436,60
60,1102,11758016,92341436,60
60,1102,11758016,92341436,64
64,1102,11758016,92341436,64
64,1102,11758016,92341436,66
66,1102,11758016,92341436,70
70,1102,11758016,92341436,74
74,1102,11758016,92341436,83
83,1102,11758016,92341436,85
85,1102,11758016,92341436,86
86,1102,11758016,92341436,96
96,1102,11758016,92341436,114
114,1102,11758016,92341436,126
126,1102,11758016,92341436,148
148,1102,11758016,92341436,176
176,1102,11758016,92341436,228
228,1102,11758016,92341436,251
251,1102,11758016,92341436,277
277,1102,11758016,92341436,346
346,1102,11758016,92341436,383
383,1102,11758016,92341436,403
403,1102,11758016,92341436,426
426,1102,11758016,92341436,471
471,1102,11758016,92341436,482
482,1102,11758016,92341436,517
517,1102,11758016,92341436,529
529,1102,11758016,92341436,536
536,1102,11758016,92341436,542
542,1102,11758016,92341436,550
550,1102,11758016,92341436,571
571,1102,11758016,92341436,591
591,1102,11758016,92341436,696
696,1102,11758016,92341436,747
747,1102,11758016,92341436,831
831,1102,11758016,92341436,940
940,1102,11758016,92341436,994
994,1102,11758016,92341436,1018
1018,1102,11758016,92341436,1179
1179,1102,11758016,92341436,1262
1262,1102,11758016,92341436,1391
1391,1102,11758016,92341436,1498
1498,1102,11758016,92341436,1674
1674,1102,11758016,92341436,1982
1982,1102,11758016,92341436,2177
2177,1102,11758016,92341436,2380
2380,1102,11758016,92341436,2587
2587,1102,11758016,92341436,2730
2730,1102,11758016,92341436,2983
