Active,Population Density,Urban Population,Rural Population,Y
71,9252,1026459,28991,6
75,9252,1026459,28991,0
75,9252,1026459,28991,8
80,9252,1026459,28991,9
89,9252,1026459,28991,9
98,9252,1026459,28991,15
113,9252,1026459,28991,15
128,9252,1026459,28991,19
143,9252,1026459,28991,0
143,9252,1026459,28991,5
148,9252,1026459,28991,13
156,9252,1026459,28991,0
156,9252,1026459,28991,4
151,9252,1026459,28991,0
151,9252,1026459,28991,0
137,9252,1026459,28991,0
137,9252,1026459,28991,5
139,9252,1026459,28991,4
140,9252,1026459,28991,2
142,9252,1026459,28991,15
75,9252,1026459,28991,1
37,9252,1026459,28991,7
43,9252,1026459,28991,13
49,9252,1026459,28991,0
49,9252,1026459,28991,28
75,9252,1026459,28991,13
88,9252,1026459,28991,9
95,9252,1026459,28991,1
96,9252,1026459,28991,0
96,9252,1026459,28991,4
90,9252,1026459,28991,1
91,9252,1026459,28991,7
82,9252,1026459,28991,0
82,9252,1026459,28991,0
82,9252,1026459,28991,3
77,9252,1026459,28991,5
31,9252,1026459,28991,5
36,9252,1026459,28991,3
39,9252,1026459,28991,6
32,9252,1026459,28991,4
36,9252,1026459,28991,5
41,9252,1026459,28991,2
43,9252,1026459,28991,11
54,9252,1026459,28991,7
54,9252,1026459,28991,2
52,9252,1026459,28991,4
50,9252,1026459,28991,10
59,9252,1026459,28991,6
62,9252,1026459,28991,7
60,9252,1026459,28991,23
82,9252,1026459,28991,2
84,9252,1026459,28991,5
